transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Other,6,0
4/30/25 18:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,14,1
4/30/25 18:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,46,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,211,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,82,5
4/30/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Other,11,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Students,201,2
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,168,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,32,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,45,1
4/30/25 17:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"2,073",26
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,24,5
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,90,0
4/30/25 17:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,94,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,24,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,26,2
4/30/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,511",37
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,172,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,107,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Students,244,4
4/30/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,78,5
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,94,3
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,51,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,OMNY - Other,10,0
4/30/25 16:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,201,11
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,44,0
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,200,1
4/30/25 15:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,38,1
4/30/25 15:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,77,6
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,72,0
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,29,2
4/30/25 15:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,301",27
4/30/25 15:00,23 St-Baruch College (6),Manhattan,OMNY - Other,5,0
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,120,0
4/30/25 15:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,105,0
4/30/25 15:00,23 St-Baruch College (6),Manhattan,OMNY - Students,304,2
4/30/25 14:00,23 St-Baruch College (6),Manhattan,OMNY - Students,259,0
4/30/25 14:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,28,0
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,26,1
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,100,3
4/30/25 14:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,80,4
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,54,0
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,78,0
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,115,0
4/30/25 14:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,"1,007",18
4/30/25 14:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,24,1
4/30/25 14:00,23 St-Baruch College (6),Manhattan,OMNY - Other,8,0
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,57,0
